year,ivory us all web,ivory ww shopping web,ivory us shopping web,ivory ww all web,ivory ww shopping lux  web,ivory ww shopping apparel  web,ivory ww shopping portal  web,ivory us shopping apparel  web
2004,421,515,419,427,0,426,0,393
2005,479,563,496,453,0,525,0,436
2006,449,672,547,447,0,563,0,508
2007,400,618,568,384,100,573,0,562
2008,430,701,612,417,239,610,100,556
2009,468,775,710,431,55,718,137,634
2010,492,815,642,488,133,792,55,627
2011,519,833,758,453,110,787,122,682
2012,474,868,774,438,198,846,126,714
2013,520,872,768,447,134,807,157,688
2014,590,937,826,532,147,875,216,780
2015,654,935,879,520,263,878,239,798
2016,681,1052,1046,536,73,1009,217,978
2017,624,977,966,510,204,924,119,916
2018,553,878,836,456,175,852,130,799
2019,502,848,766,443,139,850,212,770
2020,484,697,638,429,171,705,126,601
